,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x16,x17,d1,d2,d3,d4,d5,d6,d7,d8,theta1,theta2
127,14.54356123,21.20291783,19.60745033,3.772235885,0.671114831,12.65622886,5.789353213,10.50972468,31.19649394,15.99300519,24.00642374,48.1824853,2.388185365,58,119,1.825885144,0.669705064,1.71549113,0.862691748,5.747283111,2.876911912,0.594733275,0.879295331,0.776324536,0.411190715
131,14.51617102,20.48699928,20.14808939,3.682754601,0.673970052,11.7729576,7.461399755,10.33388989,32.80426049,13.378457,23.30866274,47.66333318,1.146265998,56,115,1.843104098,0.596472932,1.525523691,1.020123705,6.137802134,2.295113668,0.839582132,0.694840527,0.535369644,0.660920633
133,14.28027718,19.86821646,19.58395384,3.474343829,-1.170695715,11.77862278,7.031370891,10.63014941,34.29351234,14.49443565,22.40668747,47.42719792,2.475713286,57,117,1.974190462,0.707235162,1.614372972,2.118443896,6.840481136,2.842580669,0.60676017,0.95611877,0.5582571,0.101392647
134,14.15839693,21.31179437,21.98559516,3.429444781,0.5109029,12.21296834,6.592875252,12.53425617,33.93692088,16.21826056,23.43360937,49.93266702,1.790193923,59,124,1.7248365,0.602749326,1.751492097,1.327114436,6.053962676,2.878746372,0.483912035,0.956740256,0.578948872,0.486738222
135,13.40079723,21.1565005,21.10677849,3.363254868,0.785692087,12.55443109,7.556928126,10.37208068,32.58509642,16.08728891,20.46383485,48.52499207,5.896171165,56,118,1.935000538,0.505140669,1.112691873,1.374871146,5.918214413,2.451824295,0.334705413,0.828072941,0.534272234,0.623071958
137,14.87698612,21.42092272,19.94176705,3.35176242,-0.656713921,12.43813594,7.005548147,10.83737583,32.07087991,15.4927969,24.47542181,46.82592352,7.100960347,57,111,1.978040704,0.610264187,1.107187261,1.109786255,6.280748437,2.800073847,0.370025299,0.981972966,0.451223299,0.431216711
147,14.51808265,20.90252291,21.65234754,3.288844014,0.721983553,12.62955158,7.403451573,11.51694951,34.34765896,13.46103391,23.1514189,48.27557565,4.161111126,58,120,1.988655909,0.768477825,1.192341499,1.810062803,6.843591919,2.842451215,0.363941129,0.772135154,0.367506043,0.395070153
148,13.90330711,18.86552583,19.27582962,3.403535732,0.393764914,10.48845975,6.943988925,9.754753405,29.39207906,12.32308387,22.07012958,43.90518034,-1.266812335,55,111,1.935751539,0.510700308,1.64590386,1.375789772,5.908246704,2.895980372,0.499229352,0.974925503,0.547852902,0.472724204
152,15.39123048,22.12327082,20.10205893,2.198495558,0.983205572,11.92278417,7.020967267,11.28309949,31.64957253,11.71045041,20.30957908,46.71563617,3.715976951,57,109,1.96607815,0.815720453,1.548651247,1.574983648,6.482428906,2.851606273,0.581044304,1.219216256,0.631893974,0.480248006
153,13.75020032,23.41716169,19.64121422,2.066955411,0.665434952,11.70471597,1.905977576,12.04035876,31.93228338,12.73229007,20.9002454,45.68248369,1.902593253,58,108,1.712379702,0.777593897,1.726353417,1.337677885,5.922892794,2.758636988,0.518315298,0.783135414,0.350545909,0.487462447
154,16.03822329,22.70717376,18.61332583,2.179056714,0.568170553,11.02012889,5.437832716,9.936521287,29.91177841,11.81176353,21.15200076,43.58854551,3.926363567,57,98,1.758946835,0.698249878,1.372554137,1.105955337,6.185370843,2.273084235,0.753305094,0.365285592,0.103608943,0.683861193
155,14.5233447,21.96414201,20.04640052,2.872515355,1.011935849,10.66558126,6.340923648,9.179796491,29.16015302,11.01015052,22.66616418,44.59120676,1.086112304,55,94,1.991894635,0.451065372,1.745628488,1.124121545,6.215143731,3.232628143,0.667399916,0.839789219,0.434377851,0.614809065
156,13.56611352,21.39010062,19.5227063,2.27321761,-0.559743146,10.20171737,5.496582172,9.640534956,25.82988015,9.554169742,21.98908535,42.97744764,2.048712203,55,97,1.511745733,0.701870451,1.498631306,1.046861129,5.71817737,2.584832593,0.445920503,0.658250488,0.303421776,0.419278871
162,15.40958676,21.45416985,23.06423889,3.633424792,0.305272303,14.04260729,1.981711496,12.43539514,30.5706318,13.66979471,24.24902052,50.57824042,0.866747041,56,112,2.067594421,0.904397355,1.682722506,1.855766295,7.512362481,3.117654984,0.853571066,1.311433882,0.445577287,0.424635006
163,15.67553476,23.57239337,20.73803745,3.227538528,-0.275302842,12.10585853,3.897239385,11.33315077,32.90310267,12.41626516,24.8397825,47.80262086,2.694598906,57,117,1.706152322,0.675061123,1.247366194,1.706152322,6.27832983,2.426079885,0.440018939,1.081201314,0.223202159,0.512228419
165,14.0126185,22.09024367,19.97569896,2.443684355,0.497050688,11.06996862,9.288787446,12.10528709,29.56662505,12.1909781,22.80298266,43.01873881,1.59057842,56.5,104,1.868850935,0.47223321,1.488181206,1.441116706,5.543046071,2.723936241,0.856640995,0.853143753,0.167431778,0.395967063
